Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2008-04-09,MIN,Sakic Joe,COL,3-2,MIN,1,11:11
2008-04-11,MIN,Carney Keith,MIN,3-2,COL,1,1:14
2008-04-12,MTL,Kovalev Alex,MTL,3-2,BOS,1,2:30
2008-04-13,BOS,Savard Marc,BOS,2-1,MTL,1,9:25
2008-04-13,NYR,Madden John,NJD,4-3,NYR,1,6:01
2008-04-14,COL,Bouchard Pierre-Marc,MIN,3-2,COL,1,11:58
2008-04-17,PHI,Knuble Mike,PHI,4-3,WSH,2,26:40
2008-04-18,DET,Franzen Johan,DET,2-1,NSH,1,1:48
2008-04-22,WSH,Lupul Joffrey,PHI,3-2,WSH,1,6:06
2008-04-24,MTL,Kostopoulos Tom,MTL,4-3,PHI,1,0:48
2008-04-25,SJS,Morrow Brenden,DAL,3-2,SJS,1,4:39
2008-04-29,DAL,Norstrom Mattias,DAL,2-1,SJS,1,4:37
2008-05-02,SJS,Pavelski Joe,SJS,3-2,DAL,1,1:05
2008-05-04,DAL,Morrow Brenden,DAL,2-1,SJS,4,69:03
2008-05-04,PIT,Hossa Marian,PIT,3-2,NYR,1,7:10
2008-06-02,DET,Sykora Petr,PIT,4-3,DET,3,49:57
